stipatio,Cluster
egressio,Raus!
abátia,Abbey
ablativus,ablativ
abnormis,Abnormal
aboriginal.,Aboriginal
abortio,Abtreibung
super,oben
supra,oben
superior,Obermateri.
absentia,Fehlen
simplex,absolut
absolutum,absolut
omnino,völlig
absolutism.,Absolutism.
abstractus,Zusammenfa.
appellatio,Rekurs
absurdus,Haferflock.
ineptia,absurdum
malédicus,Überfall
académicus,Wissenscha.
tonicus,akzentuier.
gratus,zulässig
acceptabil.,Annahme
acceptio,Empfang
aditialis,Eingang
accidental.,Unfall
relatio,Rechnung
ratiocinat.,Konto
exactus,genau
accurate,scharf
accusatio,Beschuldig.
reus,Angeklagte
absolutio,acquittal
acrónymum,Akronym
trans,in
histrionia,mit
histrionic.,Schauspiel.
actio,Arbeiten
activus,Wirkstoff
activitas,Arbeiten
fautor,Unterstütz.
opera,Arbeit
scaenica,Schauspiel.
accomodatu.,adaptive
adjectio,Ergänzung
additicius,zusätzlich
contio,Anschrift
sufficient.,Angemessen.
apte,ausreichen.
adjectival.,Adjektiv
adjectivum,Adjektiv
moderabili.,einstellba.
admirabili.,bewunderns.
admiratio,fragen
admíror,bewundern
accipiendu.,zulässig
sane,zugegebene.
provectus,fortgeschr.
adverbium,Adverb
adverbiali.,Advers
consilium,Programm
consulte,beratend
consultati.,Konferenz
consiliato.,Berater
suasor,für
aesthética,Ästhetik
affabilis,Affäre
pútidus,Betroffen
affígo,affix
praefatus,Vorhaut
pávidus,Angst
áfricanus,Afrika
post,zurück
sequelae,Nachmast
postmeridi.,Nachmittag
íterum,wieder
adversus,Verwendet
aetas,Alter
saecularis,Sesam
agentura,Agentur
auctor,Autor
hostilis,aggressiv
agnósticus,agnostisch
conventio,Abkommen
prorsus,rein
auxilium,Hilfe
meta,Ziel
aeróplanum,Flugzeug
interapert.,Ajar
alcoholum,Alkohol
alethicus,Alethin
disjunctus,entfremdet
par,Matching
illecebrós.,Alling
paene,fast
solus,nur
per,durch
clare,klar
alphabetum,Alphabetis.
licet,Na gut.
etiam,sogar
mutare,Änderung
immutatio,Änderung
altruismus,Altruismus
semper,immer
idióticus,Amateure
stupor,Erstaunen
mirus,überrasche.
ambiguitas,Mehrdeutig.
ambiguus,mehrdeutig
ambitio,Elastik
ambitiosus,ehrgeizige.
ambifarius,Ambivalent
árcera,Ambulanz
Americanus,Amerikanis.
prave,Zulässig
amminoácid.,Amminosäur.
amoralismu.,Amoralismu.
copia,Versorgung
amplificat.,Verstärker
analogicus,analog
analogum,Vergleichs.
anarchia,Anarchie
próavi,Vorfahren
áncora,Anker
antíquitus,uralt
ira,Wut
annunciáto.,Verkünder
anómalus,anomale
responsum,Antwort
florilegiu.,Anthologie
antinómia,Antioxidan.
anxíetas,Angst
anxius,Angst
quivis,oder
quispiam,Niemand
utique,und
aliquid,Was?
alicubi,überall
seclusus,auseinande.
separatim,auseinande.
domicilium,Wohnsitz
lentus,apathisch
lentitudo,Apathie
sententia,Untergang
apologetic.,Apologet
excusatio,Entschuldi.
apória,Aporation
manifestus,offensicht.
apparentia,Aussehen
additament.,Anhang
magni,zu schätze.
appropinqu.,Ansatz
apriorismu.,Apriorismu.
armeníacum,Schürze
Arabius,Arabisch
Arábice,Arabisch
Aramáéus,Arama
disceptato.,Arbiter
arbitrariu.,beliebig
archetypum,Bogen
area,Fläche
probabilis,streitbar
argumentum,Argument
argumental.,Argument
orior,entstehen
instructur.,Array
prehendo,Verhaftung
arrogantia,Arroganz
sagítta,Pfeil
dilucidus,Artikulati.
artificios.,Künstliche
ártifex,Künstler
quatenus,wie
Asianus,Asiatisch
seorsum,separat
dormiens,Schlafen
studium,Eifer
sicarus,Assassin
compóno,Montage
concilium,Rat
assensio,Zustimmung
assertio,Behauptung
aestimatio,Bewertung
assignatio,Aufgaben
adjutor,Helfer
