stipatio,clustering
egressio,out
abátia,abbey
ablativus,ablative
abnormis,abnormal
aboriginalis,aboriginal
abortio,abortion
super,above
supra,above
superior,upper
absentia,absence
simplex,absolute
absolutum,absolute
omnino,utterly
absolutismus,absolutism
abstractus,abstract
appellatio,recourse
absurdus,grotesque
ineptia,absurdity
malédicus,abusive
académicus,academic
tonicus,accented
gratus,acceptable
acceptabilis,acceptance
acceptio,reception
aditialis,entrance
accidentalis,accidental
relatio,account
ratiocinator,accountant
exactus,precise
accurate,sharply
accusatio,accusation
reus,accused
absolutio,acquittal
acrónymum,acronym
trans,across
histrionia,acting
histrionicus,actor's
actio,workings
activus,active
activitas,working
fautor,supporter
opera,work
scaenica,actress
accomodatus,adaptive
adjectio,addition
additicius,additional
contio,address
sufficientia,adequacy
apte,adequately
adjectivalis,adjectival
adjectivum,adjective
moderabilis,adjustable
admirabilis,admirable
admiratio,wonder
admíror,admire
accipiendus,admissible
sane,admittedly
provectus,advanced
adverbium,adverb
adverbialis,adverbial
consilium,program
consulte,advisedly
consultatio,conference
consiliator,advisor
suasor,advocate
aesthética,aesthetics
affabilis,affable
pútidus,affected
affígo,affix
praefatus,aforesaid
pávidus,afraid
áfricanus,African
post,behind
sequelae,aftermath
postmeridianus,afternoon
íterum,again
adversus,versus
aetas,age
saecularis,secular
agentura,agency
auctor,writer
hostilis,aggressive
agnósticus,agnostic
conventio,agreement
prorsus,purely
auxilium,help
meta,aim
aeróplanum,airplane
interapertus,ajar
alcoholum,alcohol
alethicus,alethic
disjunctus,alienated
par,matching
illecebrósus,alluring
paene,almost
solus,only
per,through
clare,clearly
alphabetum,alphabet
licet,alright
etiam,even
mutare,alter
immutatio,alteration
altruismus,altruism
semper,ever
idióticus,amateurish
stupor,amazement
mirus,surprising
ambiguitas,ambiguity
ambiguus,ambiguous
ambitio,ambition
ambitiosus,ambitious
ambifarius,ambivalent
árcera,ambulance
Americanus,American
prave,amiss
amminoácidum,amminoacid
amoralismus,amoralism
copia,supply
amplificatrum,amplifier
analogicus,analogical
analogum,analogue
anarchia,anarchy
próavi,ancestor
áncora,anchor
antíquitus,anciently
ira,anger
annunciátor,announcer
anómalus,anomalous
responsum,response
florilegium,anthology
antinómia,antinomy
anxíetas,anxiety
anxius,anxious
quivis,any
quispiam,anybody
utique,anyway
aliquid,something
alicubi,anywhere
seclusus,apart
separatim,apart
domicilium,residence
lentus,apathetic
lentitudo,apathy
sententia,motto
apologeticus,apologete
excusatio,apology
apória,aporia
manifestus,evident
apparentia,appearance
additamentum,appendix
magni,appreciate
appropinquatio,approach
apriorismus,apriorism
armeníacum,apron
Arabius,Arabian
Arábice,Arabic
Aramáéus,Aramaic
disceptator,arbiter
arbitrarius,arbitrary
archetypum,archtype
area,area
probabilis,arguable
argumentum,argument
argumentalis,argument
orior,emerge
instructura,array
prehendo,arrest
arrogantia,arrogance
sagítta,arrow
dilucidus,articulate
artificiosus,artificial
ártifex,artistic
quatenus,as
Asianus,Asian
seorsum,separately
dormiens,asleep
studium,zeal
sicarus,assassin
compóno,assemble
concilium,council
assensio,assent
assertio,assertion
aestimatio,valuing
assignatio,assignment
adjutor,helper
sumptio,postulate
confirmatio,assurance
affirmo,assure
domi,at
ataráxia,ataraxia
atheisticus,atheistic
Atlanticus,Atlantic
atmosphaera,atmosphere
atómicus,atomic
expiatio,atonement
appendicula,attachment
adeptio,gaining
praesentia,presence
subteguláneum,attic
speciósus,attractive
attributum,attribute
cavea,public
phonotaeníola,audiotape
autarchia,autarchy
germanus,authentic
auctoritas,prestige
autocinéticus,automobile
automatarius,automatic
autocinétum,car
autónomus,autonomous
autonomia,autonomy
autumnalis,fall
medíetas,average
medius,middle
vitatio,avoidance
conscientia,awareness
mirabilis,awesome
dirus,dreadful
inconcínnus,clumsy
axiologia,axiology
Aztecus,Aztec
garrulitas,babble
postícus,back
spina,backbone
circumstantiae,background
praesumptus,background
mántica,backpack
retrógradus,backward
retro,backwards
bacterium,bacterium
pravus,bad
improbitas,badness
esca,bait
aequilibritas,balance
libratus,balanced
maeniánum,balcony
calvitium,baldness
pila,ball
tabella,ballot
banána,banana
exilium,exile
argentaria,bank
argentarius,banker
thermopolium,bar
bárbarus,barbarian
merus,sheer
barócus,barroque
statio,quarters
basípila,baseball
fundátus,basically
fundamentaliter,basically
fundamentum,basis
balneum,bathroom
solium,bathtub
proelium,combat
pílula,bead
faba,bean
barba,beard
pulchritudo,beauty
quia,because
antequam,before
ante,before
incipiens,beginner
convenit,behooves
essens,being
serus,belated
Belgicus,Belgian
Belgium,Belgium
opinatus,believed
credens,believer
campana,bell
infra,underneath
cíngulum,belt
scamnum,bench
benéficus,generous
proclivitas,tendency
juxta,beside
praeterea,besides
largitio,bestowal
proditio,treason
birotarius,bicyclist
bilinguis,bilingual
miliardum,billion
