stipatio,kümeleme
egressio,dışarı çık.
abátia,abbey
ablativus,ablative
abnormis,anormal an.
aboriginal.,Abori
abortio,kürtaj kür.
super,Yukarıda y.
supra,Yukarıda y.
superior,üst üst üs.
absentia,yokluğu yo.
simplex,mutlak mut.
absolutum,mutlak mut.
omnino,Tamamen ta.
absolutism.,absolutizm
abstractus,Özet Özet
appellatio,Recourse
absurdus,grotesk
ineptia,Aptallık
malédicus,kötüye gid.
académicus,Akademik A.
tonicus,aksanmış
gratus,Kabul edil.
acceptabil.,Kabul
acceptio,Resepsiyon.
aditialis,giriş giri.
accidental.,kazara kaz.
relatio,Hesap hesa.
ratiocinat.,muhasebeci.
exactus,kesin kesi.
accurate,keskin bir.
accusatio,Suçlama su.
reus,Suçla suçl.
absolutio,quittal
acrónymum,acronym
trans,Etrafında
histrionia,oyunculuk
histrionic.,aktörün ak.
actio,Çalışmalar
activus,aktif akti.
activitas,Çalışma ça.
fautor,destekçisi
opera,İş işleri
scaenica,aktris
accomodatu.,Adaptif
adjectio,Ek ek ek e.
additicius,Ek ek ek e.
contio,adresi
sufficient.,adequacy
apte,Yeterli ol.
adjectival.,ectival
adjectivum,düktif
moderabili.,ayarlanabi.
admirabili.,Yemin eder.
admiratio,merak mera.
admíror,hayran hay.
accipiendu.,İzinsiz
sane,Kabul edil.
provectus,gelişmiş g.
adverbium,Yemin eder.
adverbiali.,►
consilium,Program pr.
consulte,Tavsiyely
consultati.,Konferans .
consiliato.,Danışman d.
suasor,savunuculu.
aesthética,Estetik es.
affabilis,Alılabilir
pútidus,Etkilenen .
affígo,6.
praefatus,Aforesaid
pávidus,Korkudan k.
áfricanus,Afrika Afr.
post,Arka arka .
sequelae,After afte.
postmeridi.,öğleden so.
íterum,Tekrar tek.
adversus,Karşıya ka.
aetas,Yaş yaşı
saecularis,seküler se.
agentura,ajans ajan.
auctor,Yazar yaza.
hostilis,agresif ag.
agnósticus,Agnostic
conventio,Anlaşma an.
prorsus,Tamamen sa.
auxilium,Yardım yar.
meta,Hedef hede.
aeróplanum,Uçak uçak .
interapert.,ajar a car
alcoholum,Alkol alko.
alethicus,Revhic
disjunctus,yabancılaş.
par,eşleştirme
illecebrós.,Alluring a.
paene,neredeyse .
solus,Sadece sad.
per,aracılığıy.
clare,açıkça açı.
